ticket_id,description,category,resolution
INC-3001,Payroll batch job failed overnight with database timeout,Application,Restart payroll scheduler and increase database connection pool
INC-3002,Order management API returns HTTP 500 during checkout,Application,Rollback failed deployment and clear stuck application queue
INC-3003,Invoice upload screen freezes after attaching PDF file,Application,Patch document parser service and retry upload
INC-3004,Inventory sync job delayed between SAP and warehouse system,Application,Replay failed integration messages from middleware queue
INC-300001,the payroll batch job failed overnight with a timeout error,Application,Increase the timeout threshold and restart the payroll batch job
INC-300002,the payroll batch job failed during month-end close with a timeout error,Application,Increase the timeout threshold and restart the payroll batch job
INC-300003,the payroll batch job failed during peak traffic with a timeout error,Application,Increase the timeout threshold and restart the payroll batch job
INC-300004,the payroll batch job failed right after a deployment with a timeout error,Application,Increase the timeout threshold and restart the payroll batch job
INC-300005,the payroll batch job failed during a scheduled failover with a timeout error,Application,Increase the timeout threshold and restart the payroll batch job
INC-300006,the payroll batch job failed during the nightly batch window with a timeout error,Application,Increase the timeout threshold and restart the payroll batch job
INC-300007,the payroll batch job failed during quarter close with a timeout error,Application,Increase the timeout threshold and restart the payroll batch job
INC-300008,the payroll batch job failed during a marketing campaign with a timeout error,Application,Increase the timeout threshold and restart the payroll batch job
INC-300009,the payroll batch job failed during a schema migration with a timeout error,Application,Increase the timeout threshold and restart the payroll batch job
INC-300010,the payroll batch job failed while syncing with a partner system with a timeout error,Application,Increase the timeout threshold and restart the payroll batch job
INC-300011,the order management API failed overnight with a timeout error,Application,Increase the timeout threshold and restart the order management API
INC-300012,the order management API failed during month-end close with a timeout error,Application,Increase the timeout threshold and restart the order management API
INC-300013,the order management API failed during peak traffic with a timeout error,Application,Increase the timeout threshold and restart the order management API
INC-300014,the order management API failed right after a deployment with a timeout error,Application,Increase the timeout threshold and restart the order management API
INC-300015,the order management API failed during a scheduled failover with a timeout error,Application,Increase the timeout threshold and restart the order management API
INC-300016,the order management API failed during the nightly batch window with a timeout error,Application,Increase the timeout threshold and restart the order management API
INC-300017,the order management API failed during quarter close with a timeout error,Application,Increase the timeout threshold and restart the order management API
INC-300018,the order management API failed during a marketing campaign with a timeout error,Application,Increase the timeout threshold and restart the order management API
INC-300019,the order management API failed during a schema migration with a timeout error,Application,Increase the timeout threshold and restart the order management API
INC-300020,the order management API failed while syncing with a partner system with a timeout error,Application,Increase the timeout threshold and restart the order management API
INC-300021,the inventory sync service failed overnight with a timeout error,Application,Increase the timeout threshold and restart the inventory sync service
INC-300022,the inventory sync service failed during month-end close with a timeout error,Application,Increase the timeout threshold and restart the inventory sync service
INC-300023,the inventory sync service failed during peak traffic with a timeout error,Application,Increase the timeout threshold and restart the inventory sync service
INC-300024,the inventory sync service failed right after a deployment with a timeout error,Application,Increase the timeout threshold and restart the inventory sync service
INC-300025,the inventory sync service failed during a scheduled failover with a timeout error,Application,Increase the timeout threshold and restart the inventory sync service
INC-300026,the inventory sync service failed during the nightly batch window with a timeout error,Application,Increase the timeout threshold and restart the inventory sync service
INC-300027,the inventory sync service failed during quarter close with a timeout error,Application,Increase the timeout threshold and restart the inventory sync service
INC-300028,the inventory sync service failed during a marketing campaign with a timeout error,Application,Increase the timeout threshold and restart the inventory sync service
INC-300029,the inventory sync service failed during a schema migration with a timeout error,Application,Increase the timeout threshold and restart the inventory sync service
INC-300030,the inventory sync service failed while syncing with a partner system with a timeout error,Application,Increase the timeout threshold and restart the inventory sync service
INC-300031,the reporting pipeline failed overnight with a timeout error,Application,Increase the timeout threshold and restart the reporting pipeline
INC-300032,the reporting pipeline failed during month-end close with a timeout error,Application,Increase the timeout threshold and restart the reporting pipeline
INC-300033,the reporting pipeline failed during peak traffic with a timeout error,Application,Increase the timeout threshold and restart the reporting pipeline
INC-300034,the reporting pipeline failed right after a deployment with a timeout error,Application,Increase the timeout threshold and restart the reporting pipeline
INC-300035,the reporting pipeline failed during a scheduled failover with a timeout error,Application,Increase the timeout threshold and restart the reporting pipeline
INC-300036,the reporting pipeline failed during the nightly batch window with a timeout error,Application,Increase the timeout threshold and restart the reporting pipeline
INC-300037,the reporting pipeline failed during quarter close with a timeout error,Application,Increase the timeout threshold and restart the reporting pipeline
INC-300038,the reporting pipeline failed during a marketing campaign with a timeout error,Application,Increase the timeout threshold and restart the reporting pipeline
INC-300039,the reporting pipeline failed during a schema migration with a timeout error,Application,Increase the timeout threshold and restart the reporting pipeline
INC-300040,the reporting pipeline failed while syncing with a partner system with a timeout error,Application,Increase the timeout threshold and restart the reporting pipeline
INC-300041,the ETL job failed overnight with a timeout error,Application,Increase the timeout threshold and restart the ETL job
INC-300042,the ETL job failed during month-end close with a timeout error,Application,Increase the timeout threshold and restart the ETL job
INC-300043,the ETL job failed during peak traffic with a timeout error,Application,Increase the timeout threshold and restart the ETL job
INC-300044,the ETL job failed right after a deployment with a timeout error,Application,Increase the timeout threshold and restart the ETL job
INC-300045,the ETL job failed during a scheduled failover with a timeout error,Application,Increase the timeout threshold and restart the ETL job
INC-300046,the ETL job failed during the nightly batch window with a timeout error,Application,Increase the timeout threshold and restart the ETL job
